Candidate,Description,Votes,Electorate,Turnout,Spoilt ballots,Ward,vote_share
ANDERSON Barry John,The Conservative Party Candidate,4385,16472,47.3,28,Adel & Wharfedale,56.5
BRIDGES Chris,Labour Party,2104,16472,47.3,28,Adel & Wharfedale,27.1
LOVE Fiona Sarah Heather,Green Party,486,16472,47.3,28,Adel & Wharfedale,6.3
ROBINSON Corey,Yorkshire Party,127,16472,47.3,28,Adel & Wharfedale,1.6
TWITCHETT Mark John,Liberal Democrats,663,16472,47.3,28,Adel & Wharfedale,8.5
COHEN Dan,The Conservative Party Candidate,4466,17584,42.2,25,Alwoodley,60.5
DEWS Howard Graham,Yorkshire Party,137,17584,42.2,25,Alwoodley,1.9
HALL Alaric Timothy Peter,Green Party,283,17584,42.2,25,Alwoodley,3.8
JENNINGS Louise Mary,Women`s Equality Party,120,17584,42.2,25,Alwoodley,1.6
NUTTGENS Lucy Kathleen,Labour Party,2099,17584,42.2,25,Alwoodley,28.4
PARKER Roderic,Liberal Democrats,278,17584,42.2,25,Alwoodley,3.8
CAIN Marcus Scott,Green Party,362,17741,32.0,34,Ardsley & Robin Hood,6.4
MARTIN Andrew Alexander,Social Democratic Party,105,17741,32.0,34,Ardsley & Robin Hood,1.9
RENSHAW Karen,Labour and Co-operative Party,2572,17741,32.0,34,Ardsley & Robin Hood,45.6
SHIRES Alan Jean-Luke,The Conservative Party Candidate,2246,17741,32.0,34,Ardsley & Robin Hood,39.8
WARD Benjamin Lloyd,Liberal Democrats,360,17741,32.0,34,Ardsley & Robin Hood,6.4
HYNAM Florian,Trade Unionist and Socialist Coalition,85,17270,24.9,25,Armley,2.0
KOVACS Tamas,The Conservative Party Candidate,666,17270,24.9,25,Armley,15.7
ROLLINSON Mark Terence,Green Party,642,17270,24.9,25,Armley,15.1
SMART Alice Ellen Schofield,Labour Party,2653,17270,24.9,25,Armley,62.4
WALKER Dan,Liberal Democrats,205,17270,24.9,25,Armley,4.8
ANDREWS Peter Richard,Liberal Democrats,179,18282,24.0,25,Beeston & Holbeck,4.1
ARMITAGE Natalia,The Conservative Party Candidate,740,18282,24.0,25,Beeston & Holbeck,17.0
MALONEY Annie,Labour Party,2070,18282,24.0,25,Beeston & Holbeck,47.5
PERRY Nigel,Social Democratic Party,250,18282,24.0,25,Beeston & Holbeck,5.7
POLUCCIU Mariana,Green Party,971,18282,24.0,25,Beeston & Holbeck,22.3
